primary_id,common_name,constellation,right_ascension_hours,declination_degrees,apparent_magnitude,object_type
M57,Ring Nebula,LYR,18.893,33.035,8.8,PlanetaryNebula
M58,,VIR,12.679,11.818,9.7,Galaxy
M59,,VIR,12.708,11.645,9.6,Galaxy
M60,,VIR,12.727,11.552,8.8,Galaxy
M61,,VIR,12.367,4.473,9.7,Galaxy
M62,,OPH,17.020,-30.113,6.6,GlobularCluster
M63,Sunflower Galaxy,CVN,13.253,42.029,8.6,Galaxy
M64,Black Eye Galaxy,COM,12.945,21.683,8.5,Galaxy
M65,,LEO,11.301,13.135,9.3,Galaxy
M66,,LEO,11.337,12.997,8.9,Galaxy
M67,,CNC,8.855,11.817,6.9,OpenCluster
M68,,HYA,12.630,-26.744,7.8,GlobularCluster
M69,,SGR,18.525,-32.348,7.7,GlobularCluster
M70,,SGR,18.725,-32.292,7.9,GlobularCluster
M71,,SGR,19.898,18.780,8.4,GlobularCluster
M72,,AQR,20.891,-12.538,9.4,GlobularCluster
M73,,AQR,20.975,-12.632,9.0,Asterism
M74,Phantom Galaxy,PIS,1.610,15.783,10.1,Galaxy
M75,,SGR,20.101,-21.923,8.6,GlobularCluster
M76,Little Dumbbell Nebula,PER,1.445,51.567,10.1,PlanetaryNebula
M77,,CET,2.709,-0.014,8.9,Galaxy
M78,,ORI,5.707,0.090,8.0,Nebula
M79,,LEP,5.400,-24.524,7.7,GlobularCluster
M80,,SCO,16.285,-22.975,7.3,GlobularCluster
M81,Bode's Galaxy,UMA,9.926,69.066,6.9,Galaxy
M82,Cigar Galaxy,UMA,9.933,69.679,8.4,Galaxy
M83,Southern Pinwheel,HYD,13.617,-29.868,7.6,Galaxy
M84,,VIR,12.664,12.889,9.1,Galaxy
M85,,COM,12.422,18.191,9.1,Galaxy
M86,,VIR,12.444,12.946,8.9,Galaxy
M87,Virgo A,VIR,12.514,12.392,8.6,Galaxy
M88,,COM,12.468,14.420,9.6,Galaxy
M89,,VIR,12.506,12.556,9.8,Galaxy
M90,,VIR,12.546,13.162,9.5,Galaxy
M91,,COM,12.581,14.496,10.2,Galaxy
M92,,HER,17.333,43.135,6.4,GlobularCluster
M93,,PUP,7.744,-23.857,6.0,OpenCluster
M94,,CVN,12.307,41.120,8.2,Galaxy
M95,,LEO,10.744,11.703,9.7,Galaxy
M96,,LEO,10.778,11.819,9.2,Galaxy
M97,Owl Nebula,UMA,11.247,55.019,9.9,PlanetaryNebula
M98,,COM,12.393,14.900,10.1,Galaxy
M99,Pinwheel Galaxy,COM,12.378,14.416,10.0,Galaxy
M100,,COM,12.372,15.823,9.4,Galaxy
M101,Pinwheel Galaxy,UMA,14.054,54.347,7.9,Galaxy
M102,Spindle Galaxy,DRC,15.107,55.755,9.9,Galaxy
M103,,CAS,1.348,60.700,7.4,OpenCluster
M104,Sombrero Galaxy,SEX,12.513,-11.623,8.0,Galaxy
M105,,LEO,10.810,12.581,9.3,Galaxy
M106,,CVN,12.317,47.304,8.4,Galaxy
M107,,OPH,16.541,-13.053,8.9,GlobularCluster
M108,,UMA,11.273,55.674,10.0,Galaxy
M109,,UMA,11.962,53.375,10.6,Galaxy
M110,,AND,0.712,41.685,8.1,Galaxy
